,Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom,Is true alarm,CR change,Comment
,testrun-2024-02-18-15-43/trial-02-0038/0000,{},False,,,,,None,,,,
38,testrun-2024-02-18-15-43/trial-02-0038/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""dataVolumeClaimSpec\"", \""resources\"", \""limits\""]"", ""testcase"": ""object-deletion""}",True,,message='pod: pgo-76698867bf-5454n container [operator] restart_count [1]',,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr='-.9P', path=[""spec"", ""instances"", 0, ""dataVolumeClaimSpec"", ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None",None,,FALSE,Deletes data volume claim object,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0039/0000,{},False,,,,,None,,,,
39,testrun-2024-02-18-15-43/trial-02-0039/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""dataVolumeClaimSpec\"", \""resources\"", \""limits\""]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-bsvk7 container [operator] restart_count [1]',,,None,,FALSE,Sets data voume claim to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0040/0000,{},False,,,,,None,,,,
40,testrun-2024-02-18-15-43/trial-02-0040/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,message='Pod test-cluster-backup-pfkw-9r2fd crashed',"message='pod: test-cluster-backup-pfkw-9r2fd, pgo-76698867bf-kh8w9 container [operator] restart_count [1]'",,,None,,FALSE,Deletes the actokey field in metadata annoation.,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0041/0000,{},False,,,,,None,,,,
41,testrun-2024-02-18-15-43/trial-02-0041/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-qwwh-cdcmc crashed',"message='pod: test-cluster-backup-qwwh-cdcmc, pgo-76698867bf-9xqmn container [operator] restart_count [1]'",,,None,,FALSE,Changing the actokey field in metadata annoation.,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0042/0000,{},False,,,,,None,,,,
42,testrun-2024-02-18-15-43/trial-02-0042/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",True,message='Pod test-cluster-backup-2zfn-2t9bm crashed',"message='pod: test-cluster-backup-2zfn-2t9bm, test-cluster-backup-2zfn-9fb4j, pgo-76698867bf-lp5hr container [operator] restart_count [2]'",,,None,,FALSE,Feeds empty value for actokey field in metadata annoation.,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0043/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0044/0000,{},False,,,,,None,,,,
43,testrun-2024-02-18-15-43/trial-02-0044/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\"", 0, \""volumeMounts\""]"", ""testcase"": ""array-push""}",True,,message='pod: pgo-76698867bf-wvgjs container [operator] restart_count [1]',,,None,,FALSE,Adds one element to volume mounts,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0045/0000,{},False,,,,,None,,,,
44,testrun-2024-02-18-15-43/trial-02-0045/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\"", 0, \""volumeMounts\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-tk5bd container [operator] restart_count [1]',,,None,,FALSE,Pops one element from volume mounts,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0046/0000,{},False,,,,,None,,,,
